date,date[MJD],date_err,telescope,band,M_0,M_0_err,M_0_lim,M_C,M_C_err,M_C_lim,M_E,M_E_err,M_E_lim,binned,binned_images
2020-10-06 19:08:45.000001,59128.79774305558,0.20243055555300002,A/S,V,,,21.839,,,21.839,,,21.772,Y,201006_1239.A/201006_2018.S/201006_2116.S/201006_2222.S
2020-10-06 19:10:45.000000,59128.799131944426,0.202430555557,A/S,I,,,21.944,,,21.944,,,21.902,Y,201006_1241.A/201006_2020.S/201006_2118.S/201006_2224.S
2020-10-06 21:16:40.000000,59128.88657407407,0.043055555554,S,B,23.035,0.506,22.247,23.031,1.24,22.035,22.94,1.24,21.944,Y,201006_2016.S/201006_2114.S/201006_2220.S
2020-10-07 21:18:00.000000,59129.8875,0.0496527777759,S,B,25.71,4.268,22.597,26.831,5.908,22.385,26.74,5.908,22.294,Y,201007_2009.S/201007_2113.S/201007_2232.S
2020-10-07 21:20:00.000000,59129.888888888876,0.0496527777796,S,V,,,22.232,,,22.232,,,22.165,Y,201007_2011.S/201007_2115.S/201007_2234.S
2020-10-07 21:22:00.000000,59129.89027777778,0.0496527777759,S,I,23.073,0.495,22.177,23.073,0.495,22.177,23.031,0.495,22.135,Y,201007_2013.S/201007_2117.S/201007_2236.S
2020-10-09 13:15:20.000000,59131.55231481481,0.054166666668600004,A,B,24.005,1.097,22.525,24.72,1.605,22.313,24.629,1.605,22.222,Y,201009_1152.A/201009_1326.A/201009_1428.A
2020-10-09 13:17:20.000000,59131.553703703714,0.054166666665,A,V,,,22.187,,,22.187,,,22.12,Y,201009_1154.A/201009_1328.A/201009_1430.A
2020-10-09 13:19:19.999999,59131.55509259258,0.054166666668600004,A,I,23.807,1.362,21.967,23.807,1.362,21.967,23.765,1.362,21.925,Y,201009_1156.A/201009_1330.A/201009_1432.A
2020-10-12 14:44:00.000000,59134.61388888889,0.0,A,B,20.24,0.062,21.951,19.974,0.091,21.74,19.883,0.091,21.649,N,
2020-10-12 14:47:00.000000,59134.61597222223,0.0,A,V,20.178,0.072,21.712,20.178,0.072,21.712,20.111,0.072,21.645,N,
2020-10-12 20:58:40.000000,59134.87407407407,0.04513888888690002,S,B,19.975,0.036,22.894,19.699,0.056,22.683,19.608,0.056,22.592,Y,201012_1956.S/201012_2054.S/201012_2206.S
2020-10-12 21:00:40.000000,59134.87546296296,0.0451388888905,S,V,19.937,0.042,22.248,19.937,0.042,22.248,19.87,0.042,22.181,Y,201012_1958.S/201012_2056.S/201012_2208.S
2020-10-12 21:02:40.000000,59134.876851851855,0.04513888888690002,S,I,20.325,0.047,22.178,20.325,0.047,22.178,20.283,0.047,22.136,Y,201012_2000.S/201012_2058.S/201012_2210.S
2020-10-13 12:06:00.000000,59135.50416666666,0.027083333334300002,A,B,19.703,0.027,22.738,19.436,0.045,22.526,19.345,0.045,22.435,Y,201013_1127.A/201013_1245.A
2020-10-13 12:08:00.000000,59135.505555555574,0.027083333330700003,A,V,19.643,0.03,22.433,19.643,0.03,22.433,19.576,0.03,22.366,Y,201013_1129.A/201013_1247.A
2020-10-13 12:10:30.000000,59135.50729166668,0.027430555554,A,I,20.029,0.043,21.993,20.029,0.043,21.993,19.987,0.043,21.951,Y,201013_1131.A/201013_1250.A
2020-10-13 21:25:45.000000,59135.892881944426,0.0659722222226,S,B,19.567,0.029,22.722,19.253,0.047,22.511,19.162,0.047,22.42,Y,201013_1948.S/201013_2059.S/201013_2158.S/201013_2258.S
